"","yrs","ages","vals","model","var_param","species","sd"
"38449",40,10,0.757968979304651,"2D_AR1","Marginal","atkamack",0.0353883759254007
"38450",41,10,0.854949388858334,"2D_AR1","Marginal","atkamack",0.0339719934737009
"38451",42,10,0.837854542305174,"2D_AR1","Marginal","atkamack",0.0342509992838967
"38452",43,10,0.861727180649609,"2D_AR1","Marginal","atkamack",0.0364030176631863
"38453",1,1,0.131679582022413,"iid_GMRF","Conditional","atkamack",0.00571438209999421
"38454",2,1,0.0723579245752801,"iid_GMRF","Conditional","atkamack",0.00977821219889831
"38455",3,1,0.492659654633489,"iid_GMRF","Conditional","atkamack",0.0132475839830002
"38456",4,1,0.364173581614446,"iid_GMRF","Conditional","atkamack",0.0173154623201028
"38457",5,1,0.364173581614446,"iid_GMRF","Conditional","atkamack",0.0203118565548105
"38458",6,1,0.364173581614446,"iid_GMRF","Conditional","atkamack",0.0219131254645803
"38459",7,1,0.364173581614446,"iid_GMRF","Conditional","atkamack",0.0163950925129305
"38460",8,1,0.296680407871705,"iid_GMRF","Conditional","atkamack",0.0334585478048492
"38461",9,1,0.301567459964461,"iid_GMRF","Conditional","atkamack",0.0415596371345891
"38462",10,1,0.146229329806034,"iid_GMRF","Conditional","atkamack",0.045476028567899
"38463",11,1,0.265263046793451,"iid_GMRF","Conditional","atkamack",0.00314136545959398
"38464",12,1,0.19606828465556,"iid_GMRF","Conditional","atkamack",0.00977546185632387
"38465",13,1,0.295230419579582,"iid_GMRF","Conditional","atkamack",0.01298483171713
"38466",14,1,0.361028255484067,"iid_GMRF","Conditional","atkamack",0.0150778310042414
"38467",15,1,0.229832421899741,"iid_GMRF","Conditional","atkamack",0.0167913706684385
"38468",16,1,0.229832421899741,"iid_GMRF","Conditional","atkamack",0.0171802208592311
"38469",17,1,0.229832421899741,"iid_GMRF","Conditional","atkamack",0.0160488714838595
"38470",18,1,0.150065232759354,"iid_GMRF","Conditional","atkamack",0.0183169288089208
"38471",19,1,0.0923677017017943,"iid_GMRF","Conditional","atkamack",0.0415596371345891
"38472",20,1,0.188194875708089,"iid_GMRF","Conditional","atkamack",0.045476028567899
"38473",21,1,0.229832421899741,"iid_GMRF","Conditional","atkamack",0.0214539681982963
